Paper Title,Paper Type,Parametric Methods,Am Technologies,Customization Approach,Key Findings,Application Domain,Scalability Aspects
Additive Manufacturing: Changing the Rules of Manufacturing,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Additive manufacturing for daylight - towards a customized shading device,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"Customization is achieved through a user-facing interface selecting geometries from a design library and adjusting geometry parameters to individual needs, producing a bespoke external sunshading device as a ""from file to factory"" product that can be 3D-printed locally or ordered online [37].","The paper finds (1) a direct relation between geometry, fabrication and light control performance [37]; (2) that parametric and computational design techniques combined with AM enable personalized shading devices [37]; and (3) that AM plus Web 2.0 supports distributed production and new product-design/entrepreneurship models ([37]).",Building/facades and product design (external sunshading devices for window frames) [37].,"Scalability and variation are addressed via a ""from file to factory"" model enabling distributed production and local fabrication (""design anywhere, build anywhere""), allowing many individualized variants to be produced on-demand by users or through online ordering [37]."
Computational Design and Digital Manufacturing,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Integrating Parametric Design with Robotic Additive Manufacturing for 3D Clay Printing: An Experimental Study,applied research,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Additively manufactured textiles and parametric modelling by generative algorithms in orthopaedic applications,applied research / case study,"Parametric modelling using generative algorithms and visual programming in Grasshopper (Rhinoceros) for algorithmic/parametric CAD generation, including parameterization of module geometry and mapping (paneling) onto surfaces [38].","Selective Laser Sintering (SLS) using PA 2200 on an EOS FORMIGA P100, and the paper leverages Additively Manufactured Textiles (AMT) as the fabricated flexible structures [38].","Customization via reverse-engineering 3D scanning of the patient's arm to create patient-specific CAD geometry, then parametric/generative modelling (Grasshopper) to map AMT modules onto the surface, producing tailored flexible non-structural parts and customised structural frames [38].","The generative Grasshopper algorithm successfully resolves deformation and misalignment issues encountered with conventional CAD paneling, enabling accurate mapping of complex AMT modules onto double-curved patient surfaces and producing a functional SLS prototype with good surface finish [38].",Orthopaedic devices (customised elbow orthosis) [38].,"Scalability addressed through parametric parameterization of module geometry and grid spacing, enabling easy variation of module sizes and mapping across surfaces for different patient anatomies; manufacturing scalability limited to small series/custom production enabled by SLS equipment [38]."
New Customized Elbow Orthosis Made by Additive Manufacturing,applied research,"Parametric modeling using generative algorithms is central; specifically, Grasshopper was used to implement two algorithms including pattern generation on complex surfaces and Voronoi tessellation [39].",Selective Laser Sintering (SLS) with PA 2200 material; specifically produced on an EOS FORMIGA P100 printer [39].,"Customization achieved by patient-specific reverse engineering (plaster cast -> 3D scan -> CAD model of patient's arm) combined with parametric generative algorithms to create surface-fitted patterns and Voronoi tessellations whose parameters (e.g., number of points, element size, pattern density) can be adjusted [39].",The paper presents a validated method for designing a fully AM-manufacturable customized elbow orthosis: generative parametric algorithms (patterns and Voronoi) were developed and shown to be robust and efficient; a Voronoi-patterned prototype was fabricated via SLS and structural FEM analyses validated the design under test loads [39].,Medical devices / orthopedics (custom elbow orthosis) [39].,"Scalability/variation supported via parameterized algorithms where pattern density, element counts (U/V), Voronoi parameters (number of points, polygon widths) can be adjusted to create variations; production scalability noted as small-series/custom production feasible on the EOS FORMIGA P100 SLS system [39]."
CUSTOMIZATION DESIGN KNOWLEDGE REPRESENTATION TO SUPPORT ADDITIVE MANUFACTURING,framework,Not mentioned in source.,Not mentioned in source.,"Customization is achieved by representing design knowledge about customer desired product use, perceived preferences, and functional features, and encoding this knowledge using Affordance Theory and Finite State Automata (FSA) [40].",Key contributions: AM removes traditional DFM constraints enabling customization [40]; the paper proposes a two-step DFAM-centered approach: (1) represent design knowledge for customization and (2) systematically reflect customized design factors into DFAM frameworks [40].,Product design / customization domain [40].,Not mentioned in source.
Customization of a 3D Printed Prosthetic Finger Using Parametric Modeling,applied research,"Parametric solid modeling is used to create a product family by changing parameters, specifically independent control of finger length and width using Autodesk Fusion 360 parameters [41].","Fused deposition modelling (FDM) 3D printing was used (Ultimaker 2.0+), exporting CAD to STL and slicing in Cura, using PLA material and typical FDM print settings [41].","Customization is achieved by parameterizing fingerLength and fingerWidth in the CAD model (Autodesk Fusion 360) so designers input individual measurements and export tailored STL files for 3D printing, replacing uniform scaling [41].","Parametric modeling produced prosthetic fingers whose ROM closely matched natural finger paths, outperforming uniformly scaled models which often produced large length mismatches; parametric models kept lengths within ±5% while 52% of uniformly scaled models deviated >5% [41].","Medical devices / prosthetics (upper-limb, specifically index finger prosthesis) using additive manufacturing [41].",Scalability is enabled via parametric modeling from one master CAD file to generate a product family by changing parameters (length and width) quickly; fabrication time per finger (~82–93 min) demonstrates practical small-batch/custom production but implies throughput limits for mass production [41].
An Additive Manufacturing resource process model for product family design,framework,The paper uses topology optimization and Finite Element Analysis (FEA) as parametric/algorithmic design methods [42].,The paper discusses Additive Manufacturing (AM) / 3D printing as the primary digital fabrication technology [42].,"Customization/personalization is achieved by integrating AM capabilities with topology optimization to generate complex, tool-free component geometries and by producing performance surfaces used to select optimal components within product families [42].","Key contributions: (1) proposal of an AM resource process model that integrates topology optimization and FEA to inform product family design; (2) demonstration that AM enables production of arbitrarily complex, tool-free structures usable in product families; (3) production of performance surfaces to select optimal components aiming at profitability and sustainability [42].",Product family design for consumer products (mass customization) [42].,"Scalability and design variation are addressed via performance surfaces derived from topology optimization and FEA which allow selection of optimal components across a product family to balance performance, profitability and sustainability [42]."
Axiomatic Design of Customised Additive Manufacturing Artefacts,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"The paper introduces a systematic design approach for customised AM artefacts using axiomatic design concepts and tools [43]. It emphasises that part quality depends on AM system parameters and process selection [43], and includes a detailed case study to demonstrate the approach [43].",General AM application in design and manufacturing domains [43].,Not mentioned in source.
"Mass Customization: a critical perspective on parametric design, digital fabrication and design democratization",review,"Discusses parametric design and parametric modeling as central methods, including parametric expressions and constraints; mentions dynamic/open parameters exposed via digital interfaces, node-based editors (Mattermachine), SketchUp plug-in (Wikihouse), and Sketchchair's parametric 2D-section approach [44]","Discusses digital fabrication technologies broadly: CNC and Computer Numerical Control tools, and mentions additive manufacturing/3D printing as accessible routes for end-users and makers; references file-to-factory digital prefabrication processes [44]","Customization is achieved through parametric definitions exposed via digital interfaces/configurators, meta-design platforms (Mattermachine), co-design systems (Assa Ashuach), user toolkits enabling direct manipulation of design parameters and file-to-factory workflows for production [44]","Argues critically that parametric design + digital fabrication enable mass customization but that 'design democratization' is complex and can be superficial; recommends framing democratization as conversational cycles, code sharing/copy-transform, system thinking across stakeholders, and cautions against menu-picking configurators and false linear 'digital continuum' claims [44]","Primarily architecture and built environment, with examples in furniture, consumer products (jewelry, puzzles), and housing systems; focuses on architectural practice and digital fabrication in construction [44]","Addresses scalability via parametric definitions enabling economy of scale, file-to-factory digital prefabrication, modularization (e.g., Hometeka's modules), databases/meta-design platforms for reuse and recombination, and configurators that trade-off openness vs producibility [44]"
PARAMETRIC MODELING FOR ADDITIVE CLAY MANUFACTURING AS A VECTOR FOR SUSTAINABILITY/CIRCULARITY IN DESIGN EDUCATION,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Exploring Parametric Design: Consumer customization of an everyday object,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A New Methodology of Constructing Products Using Additive Manufacturing Technology: Case Study of a Push Button,case study,The paper uses a parametric CAD system that generates parts with parameterization and constraints [45].,Additive Manufacturing (3D printing) technologies are discussed generally as the manufacturing approach [45].,Customization/personalization is achieved by embedding multiple parts into the main geometry and integrating parts into a single part using parametric CAD parameterization and constraints [45].,The methodology effectively enables producing an integrated single-part push button; effectiveness is validated through finite element simulation and mechanical testing focused on fatigue strength and stroke distance [45].,Product design/manufacturing (mechanical product: push button) [45].,"Scalability and variation are addressed by reducing part count through embedding components into the main geometry, which aims to simplify assembly and improve lifecycle; however, specific strategies for mass scalability are not detailed in the summary [45]."
Personalization in Design through New Technological Achievements,framework,Not mentioned in source.,"The paper discusses additive technologies, specifically mentioning fused deposition modeling (FDM) as an accessible AM technology for home users [46], and refers broadly to additive technologies and CAD systems as part of the technological context for personalization [46].","Customization is achieved via a proposed Product Configuration Model (PCM) that provides a user-friendly interface for novice CAD users to create personalized CAD models [46], enabling users to design or acquire CAD models online and produce them (e.g., at home) using AM like FDM [46].","Key findings: additive technologies enable new possibilities for personalization and remove series size and geometric complexity as cost barriers [46]; there is a need to support novice users in CAD, which the paper addresses by proposing a PCM for creating personalized parts [46].","The application domain is product design and mass customization for consumer goods, with implications for home fabrication using consumer AM machines [46].","Scalability: The paper states that additive technologies remove constraints related to series size and geometric complexity, implying that unique or small-batch production is scalable without additional cost penalties [46]."
Additive Manufacturing in the Design of an Engine Air Particle Separator,applied research,Not mentioned in source.,The paper discusses additive manufacturing (3D printing) as the fabrication approach used for producing complex geometries and components in the project [47].,"Customization/personalization is achieved by leveraging additive manufacturing to remove traditional manufacturing constraints, enabling rapid design iteration and exploration of novel geometries; the team completed full design-test-print cycles within a day to iterate designs quickly [47].",Key findings: the experimental results suggest that an existing ‘‘rule of thumb’’ for axial-to-radial spacing may extend to hybrid particle separators [47]; and the project demonstrates AM's value for enabling exploration of previously inaccessible design space and very rapid design iteration [47].,Aerospace component design (engine air particle separator for unmanned aerial vehicle) [47].,"Scalability/variation: AM enabled exploration of a wide design space and very rapid iterative prototyping, supporting multiple design variants quickly (full iteration in one day), though the paper does not discuss mass production scalability or parametric scaling strategies [47]."
Role of parametrised design from development process to product manufacturing,case study,Not mentioned in source.,Not mentioned in source.,"Customization is achieved via a parametrised 3D CAD model that can be easily adjusted to produce multiple design variants for testing and simulation [48], and by anticipating possible design changes early in the development so parameters allow rapid modification of the product [48].","The paper finds that parametrised design assists development by enabling multiple variants and supports testing (thermal/mechanical), and investigates the trade-off between design/parameter complexity and the usefulness of the parametrised approach [48].",Product design with engineering testing contexts (thermal and mechanical simulation) [48].,"Scalability is discussed in terms of producing multiple design variants via parameter control [48], and evaluating practical limits where increasing design and parameter complexity may reduce the value of the parametrised approach [48]."
Parametric Design for Online User Customization of 3D Printed Assistive Technology for Rheumatic Diseases,applied research,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Design of an online customization platform for nearsighted spectacles based on additive manufacturing,applied research,"Parametric CAD modeling using SolidWorks with a custom parametric human-machine interface implemented via Python integration (Win32com) [49]. Parametric design is driven by 3D-scanned point cloud feature extraction and algorithmic registration to derive dynamic feature parameters from the reconstructed 3D model [49]. The platform uses parameterized eyewear design templates (rim width, rim height, bridge width, temple width, lens curve angle, leg length) to generate customized frames [49].","Additive manufacturing (3D printing) is used to manufacture complete spectacles, with post-processing applied to printed parts [49]. Specific AM technologies or materials are not explicitly named in the text provided [49].","Customization is achieved by 3D scanning the user's head to obtain point cloud data and reconstruct a 3D model, extracting 13 facial feature points and surfaces to drive parametric frame and lens templates in SolidWorks; prescription (degree) is input to parametrize lens geometry for precise optics [49].","Parametrically customized 3D-printed spectacles meet national/international standards for appearance and dimensional accuracy (measured errors within allowable ranges) [49]. Structural simulations show stress and deformation under impact are within material allowable limits (e.g., 32 MPa and 0.12 mm deformation at 10 m/s) [49]. The study successfully integrates 3D scanning, SolidWorks parametrization via Python, and AM manufacturing to produce compliant customized spectacles [49].",Optical/eyewear product design (custom spectacles) [49].,"Scalability is supported via an online parametric platform architecture with modular components (login, frame selection, lens selection, frame design, lens design) enabling repeated customization workflows and template-driven generation of variations; variation is achieved by parameter ranges (13 facial feature points and prescription inputs) driving automated model rebuilding [49]. The paper does not provide production-scale throughput or cost analysis details."
Design Process for Additive Manufacturing,review,"The paper reports use of traditional CAD modeling techniques and geometry optimization methods in CAD workflows, and mentions a simplified calculation/design method for thin-walled reactor modules [50].","Discussed AM technologies include Fused Deposition Modeling (FDM) [50], Masked Stereolithography (mSLA) [50], 3D Concrete Printing (3DPC) [50], and extrusion-based bioprinting hardware innovations (modified extrusion bioprinter) [50]. The paper also references standards ISO/ASTM 52900 and 52910 and generally notes a diverse range of AM techniques [50].","Customization is achieved via integrated design approaches combining reverse engineering (scanning) with CAD and geometry optimization to produce personalized products (e.g., orthopedic insoles) [50].","Key findings: (1) Standards and standardized design guidelines are lacking for key quality aspects (mechanical strength, tolerancing, surface roughness) [50]; (2) design and manufacturing stages must be synchronized for optimal results [50]; (3) applied studies show effective personalization (auxetic insole reduced pressure, TPU 20% infill) [50]; (4) process settings (e.g., mSLA ultralight mode) materially affect accuracy [50].","Application domains include aerospace, automotive, medical (orthopedics, surgical templates, craniomaxillofacial reconstruction), civil/construction (3D concrete printing), bioprinting/tissue engineering, and general product design and reverse engineering [50].","Scalability considerations discussed: production time variability and its dependence on technology and geometry [50]; Multi-Criteria Decision-Making (MCDM) to choose AM vs conventional processes includes number of parts as a factor, indicating consideration of production volume scalability [50]; scalability is constrained by process parameters and machine/technology limitations affecting quality and throughput [50]."
MRI-Compatible Patient-specific Continuum Robots using Parametric Modelling,applied research,"Parametric design implemented in Rhino with the Grasshopper plugin, enabling dynamic real-time manipulation of design variables [51].","Additive manufacturing via 3D printing is used for fabrication, with attention to manufacturability and printability constraints [51].",Customization is achieved by parametrizing robot geometry based on patient anatomy and clinical requirements; parameters are set from clinical application and geometric constraints to generate patient-specific designs [51].,"The approach reduces design and manufacturing time, lowers cost, and enables effective customization for personalized medical robots [51].","Medical domain: patient-specific continuum robots for applications such as targeted drug delivery, minimally invasive surgery, and anatomical interventions [51].",Scalability and variation are supported via a parametric platform that enables dynamic manipulation of design parameters to rapidly generate multiple patient-specific variants while respecting manufacturability/printability constraints [51].
Towards Self-Evolving Products with Digital Twin Assisted Design Tool for Additively Manufactured Parts 	6 Concept and Business Implications,framework,Not mentioned in source.,Not mentioned in source.,Customization/personalization is achieved via digital twin (DT)-driven tailoring of part geometry to user application data and autonomous self-evolutionary part design algorithms that generate user-specific optimal geometries [52].,"The paper proposes a DT-assisted, self-evolving design framework that can reduce manual design labor for iterative geometry revisions and improve AM part performance; demonstrates the approach on a heat exchanger case and outlines business-model implications including supplier-customer benefits [52].",Industrial equipment / heat exchangers (mechanical/industrial components) [52],"Scalability is addressed by automating generation of alternative designs via self-evolutionary algorithms within the DT, reducing manual effort needed to scale design improvements across many applications [52]."
Towards design automation of topology optimized parts: assessment of shape and parametric optimization-based methods,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
A Computer Aided Design (CAD) support tool for parametric design of products for Rapid Manufacture (RM),framework,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
EXPLORING DIMENSIONAL PRECISION OF PARAMETRICALLY DESIGNED COMPONENTS USING Z-ULTRAT MATERIAL,applied research,"Parametric modeling implemented in CATIA V5 (Catia V5 R19) using parameter tables and formulations to define and control geometric dimensions and relationships (e.g., width correlated to length, generating number of bores via formula) [53].","Material extrusion / FDM-like 3D printing using a ZORTRAX M200 Plus printer with Z-ULTRAT thermoplastic material (i.e., filament/print material) [53].","Customization is achieved via parametric models in CATIA V5 that allow quick adjustment of dimensions and relationships through parameter tables and formulas, enabling adaptable part geometries to meet project-specific requirements [53].","Wall thickness is the primary factor affecting flatness deviation; layer thickness and infill density have smaller effects. A regression model correlating flatness deviation with wall thickness, layer thickness, and infill density was developed using Minitab, providing guidance to improve AM part quality [53].",Primary application domain: automotive components and functional prototyping; more broadly product/component design and functional prototypes for engineering contexts [53].,Scalability/variation addressed via parametric CATIA models that enable rapid re-sizing and parameter-driven changes across designs; study suggests further multi-sample testing to generalize dimensional variation findings [53].
A combinatorial framework for parametric additive manufacturing,framework,"Parametric design methods described include use of embedded parametric expressions to create design templates from inventories of designs [54], and parametric models based on finitary combinatorial structures (specifically simplicial complexes) [54].",Additive manufacturing is discussed as the manufacturing context and application area for the proposed framework [54]. Specific AM technologies are not mentioned in the provided text.,Customization/personalization is achieved by generating novel variant designs through assigning values to embedded parameters and evaluating the resulting expressions [54].,"Key contributions: proposing that parametric engineering models can be founded on combinatorial structures (simplicial complexes) [54], and proposing a suitable computational framework based on a functional model of computation to support parametric AM workflows [54].",Application domain: additive manufacturing / digital fabrication (product design context implied) [54].,Scalability/variation is addressed by reusing inventories of existing designs as parameterized templates to rapidly generate many novel variants via parameter assignment [54].
CONFLUENCE OF PARAMETRIC DESIGN AND DIGI- TAL FABRICATION RESTRUCTURING MANUFAC- TURING INDUSTRIES A unified design space from design to manufacturing,applied research,"Parametric design methodologies using conventional CAD and visual programming languages (e.g., Grasshopper-style visual programming) are central to the study; the paper reports designers developing parametric definitions and constrained parametric 'design hysteresis' approaches to manage interdisciplinary dependencies and performance evaluation [55].",Additive manufacturing / 3D printing and broader digital fabrication technologies are discussed as the manufacturing enablers in the paper [55].,Customization is enabled by parameterizing product geometry so that consumer-defined shape parameters can alter the pendant lamp design; designers implemented parametric definitions to allow user-controlled variation [55].,The paper finds that coupling parametric design with digital fabrication offers opportunities for manufacturing but requires new methods—specifically a constrained design hysteresis approach—to manage interdisciplinary dependencies and evaluate performance in implicit design spaces [55].,Design research situated at the intersection of architecture and product design (architectural designers producing a pendant lamp) [55].,"Variation and scalability are addressed by parameterizing shape parameters to allow consumer-driven variation and by proposing industry adoption of parametric tools with digital fabrication for scalable customization; however, detailed scalability metrics or production-system descriptions are not provided in the source [55]."
Modelagem Paramétrica aplicada a projeto de produto de Tecnologia Assistiva,applied research,The paper uses Grasshopper as a parametric modeling tool within Rhinoceros [56].,Not mentioned in source.,Customization is achieved by capturing the user's body as a 3D model and parameterizing that geometry to produce custom-manufactured assistive products [56].,The study finds that digital manufacturing offers greater production flexibility during prototyping and testing and can provide a competitive advantage over firms not using such methods [56].,Assistive technology / medical devices product design [56].,"Scalability is addressed through a shift from mass production to custom manufacturing enabled by digital/parametric workflows, increasing production flexibility [56]."
Knowledge engineering for additive manufacturing-driven customization,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"Customization is achieved by constructing knowledge to support DfAM through a Customized Design for AM (CDfAM) methodology that includes an affordance-based DfAM framework and an affordance structure using finite state automata to represent customized AM product behaviors [57]. The methodology supports both opportunistic (conceptual) and restrictive (embodiment) DfAM phases for enabling AM-enabled customization [57]. Machine learning is used to learn design rules from AM data and a knowledge graph is built to encapsulate design knowledge and enhance DfAM decision-making; case studies (e.g., transtibial prosthesis leg) illustrate the approach [57].","The methodology constructs structured, correlated AM design knowledge including behaviors, geometries, and manufacturability constraints, and demonstrates that a knowledge graph enhances automation of DfAM decision-making and data-driven knowledge construction [57]. CDfAM enables incorporation of customized product functionalities alongside AM constraints into designs [57].",Medical devices (prosthetics) [57],"Scalability is addressed by leveraging AM's reduced manufacturing constraints to broaden design freedom and by constructing reusable design knowledge and validated design rules in a knowledge graph to support data- and knowledge-driven automation of DfAM decision-making, which can scale design practices and contribute to standards [57]."
User-centered design for additive manufacturing as a customization strategy,applied research,Not mentioned in source.,Not mentioned in source.,"The paper proposes a user-centered design methodology combining a three-link-chain model-based design for AM and design for customization, using an affordance- and preference-based finite state automata model to capture behavioral design requirements for customization; it is applied to additive-manufactured interactive products such as prosthetic limbs [58].",Develops a user-centered design methodology to improve customization for AM interactive parts and addresses increased design complexity from AM-enabled design freedom through a systematic engineering approach [58].,"Additive-manufactured interactive products, exemplified by prosthetic limbs [58].",Addresses scalability/variation by improving the level of customization and managing increased design complexity from AM-enabled freedom through a systematic engineering approach [58].
Automated variation in product design: Using visual basics.net programming language to generate product variation,applied research,Authors use CAD-based automated parametric methods implemented via programming (Visual Basic .NET) within an existing CAD package to generate product variation; review mentions web-based customization tools and motion-capture-driven design methods [59].,Additive manufacturing / 3D printing systems are the manufacturing technologies discussed and used to produce the authors' designs; CAD-to-AM workflow (tessellated solid geometry) is emphasised [59].,"Customization/personalization is achieved via automated design-variation programs (implemented in Visual Basic .NET within CAD), web-based customization interfaces, and motion-capture input methods, enabling tailored variations from base-product models [59].","Key findings: AM reduces barriers between design and production, enabling designers to use automated CAD programming to rapidly generate and manufacture product variations; authors demonstrate original products made with these methods [59].",Product design (consumer products / industrial design) [59].,"Scalability/variation is addressed by automated CAD programming to generate variants from base models, and by web-based/custom-input (motion capture) methods that can scale customization across users; specific scalability metrics not provided in source [59]."
Parametric nodes from idea to realization,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
DISEÑO Y DESARROLLO DE UNA GUITARRA ELÉCTRICA PARAMETRIZABLE MEDIANTE PROCESOS DE FABRICACIÓN ADITIVA,applied research,The paper uses parametric design and computer-aided design methods to configure product geometry for user-specific ergonomics [60].,Fused filament deposition / fused deposition modeling (described as 'modelado por deposicion de polimeros semifundidos') and additive manufacturing more generally [60].,"Customization is achieved via parametric configuration that automatically adapts geometry to each user's ergonomic needs, within a mass-customization context [60].",The main contributions are demonstrating a design and development methodology that leverages additive manufacturing's flexibility and geometric complexity to produce a parametrizable electric guitar whose geometry automatically adapts to user ergonomics [60].,Consumer product (electric guitar) [60].,"Scalability/variation is addressed through mass-customization enabled by AM's flexibility and ability to realize complex geometries, implying scalable personalization workflows [60]."
Additive manufacturing by daylight: Towards a customized shading device [designyourshutters.com],applied research,Uses parametric and computational design techniques to allow users to select and adjust geometry from a design library via a parameterized interface [61].,Additive manufacturing / 3D printing as the primary digital fabrication technology for producing customized sunshading devices [61].,"Customization achieved via a user-facing parameterized interface: select a geometry from a library and adjust parameters to fit a specific window frame, then fabricate via 3D printing or order online [61].","Findings: sunshade performance is directly linked to geometry, supporting a link between geometry, fabrication and light-control performance [61]; AM enables personalized, distributed production and new business models combining Web 2.0 and AM for 'design anywhere, build anywhere' entrepreneurship [61].",Architectural product design: external sunshading devices for building facades/window frames [61].,"Scalability via a parameterized design library and web distribution: users adjust parameters locally or order prints online, enabling distributed, scalable production ('design anywhere, build anywhere') [61]."
A CAD INTERFACE FOR PRODUCT CUSTOMIZATION,applied research,Parametric CAD via embedded CAD productivity tools automated through the CAD API and a Visual Basic-based interface [62],Not mentioned in source.,"Customers customize products by adjusting predefined parametric parameters through an interactive CAD interface, constrained within defined ranges; applied to an electric guitar body example [62]","Developed an interactive CAD-based customization interface that reduces repetitive engineering work, lowers design time and errors, and enforces parameter constraints to maintain design consistency [62]",Product design (consumer product - electric guitar body) [62],"Scalability is addressed by allowing end-users to generate variations via constrained parameter ranges, reducing the need for engineers to manually create multiple product variants [62]"
Increasing product attachment through personalised design of additively manufactured products,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"Customization is achieved through co-design with end users and the use of Virtual Clay modelling to create personalised complex shapes, enabled by additive manufacturing's ability to produce arbitrary geometries [63].","Personalised design combined with additive manufacturing can increase product attachment, leading to longer product use and improved sustainability [63].",Product design (creative design contexts and user co-design) [63].,Scalability is enabled by additive manufacturing's capability to produce complex geometries with minimal cost/time penalties and by digital modelling workflows that offer repeatability and production speed [63].
The Additive Manufacturing Process Setting Feasible Space Exploration and Association With Variable Product Platform Design,applied research,Not mentioned in source.,The paper focuses on Additive Manufacturing (AM) broadly and discusses AM process setting adjustments and optimization related to AM production [64].,"Customization/personalization is achieved via platform-based product family design and variable product platforms where design parameter bounds are mapped from AM process setting variants, illustrated with a honeycomb-shaped bumper module example [64].",Key findings: AM process settings significantly affect part quality and cost; mapping process setting adjustments to design parameter bounds can define feasible AM-enabled design space for product platform modules [64].,Product/component design (automotive R/C racing car bumper module) [64].,Scalability/variation is addressed by using platform-based product family design and process family planning; formulating feasible process setting space search as an optimization to minimize cost and maximize design parameter variability; and mapping parameter limits from process settings via an expert system [64].
Algorithms for Jewelry Industry 4.0,applied research,"Parametric modeling using Mathematica and Grasshopper, with parametric spaces of mathematical patterns; use of Direct Acyclic Graphs (DAGs) grouped into 'User Object' to represent constrained parametric schemata [65].","Additive manufacturing technologies, specifically 3D printing in wax-based resins, are used to produce chosen configurations from the parametric models [65].",Customer-driven parametric customization via editable 3D virtual models and 'User Object' DAGs that generate large numbers of unique configurations; selected designs are 3D printed and finished via traditional handcraft [65].,"Proposes a parametric design method for Industry 4.0 jewelry manufacturing, demonstrates use of mathematical pattern parametric spaces to generate many unique designs, and validates the process with two case studies converting equations into physical forms [65].",Jewelry manufacturing / product design [65].,Scalability in design variation is achieved through DAG-based parametric schemata ('User Object') that can generate a large number of unique configurations and allow customer modification and visualization of variants [65].
UBIQUITOUS CUSTOMIZATION - UTILIZING RAPID MANUFACTURING IN THE PRODUCTION OF DESIGN AND ARCHITECTURE,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"The paper concerns architecture and design, with a focus on rapid manufacturing and ubiquitous customization [66].",Not mentioned in source.
Research on Parametric Design of Customized Products Based on Database,applied research,The paper uses parametric CAD automation via SolidWorks API together with a database-driven parametric design approach implemented using VC++ and Microsoft Access [67]. It emphasizes parametrical rapid design as central to mass customization [67].,Not mentioned in source.,"Customization is achieved through a database-driven parametric design system integrated with SolidWorks API, enabling rapid parametrical design for mass customization; demonstrated on a bearing part as an example [67].","The paper finds that database-backed parametric rapid design is crucial for enabling mass customization, and demonstrates a working SolidWorks-based parametric design system validated on a bearing component [67].",Mechanical/product components (bearing part) [67].,"Addresses scalability via enabling rapid parametric design to support mass customization production modes, implying scalable generation of product variants through parameter-driven automation [67]."
Additive Manufacturing and Design Strategies for Customized Jewellery Production,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Production of customised jewellery products [68].,Not mentioned in source.
DETC 2018-85645 CUSTOMIZATION OF A 3 D PRINTED PROSTHETIC FINGER USING PARAMETRIC MODELING,applied research,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.
Enhancing Parametric Design Through,framework,Not mentioned in source.,Not mentioned in source.,"Customization is achieved by using topological parameters—specifically non-manifold topology—to design cellular spaces and voids for additive manufacturing, enabling parameter modification based on design context [69].","The paper finds that neglecting topological relationships in parametric design leads to brittle designs and potential failure, while incorporating topology (non-manifold topology) leads to enhanced, smarter solutions that allow parameter modification to accommodate design context [69].",Additive manufacturing / digital fabrication of cellular structures (product/architectural components) [69].,"Scalability and design variation are addressed by using topological parameterization (non-manifold topology) to allow parameters to be modified in response to context, supporting adaptable variation across designs [69]."
Customer driven mass-customisation and innovative product development with parametric design & generative modeling,Not mentioned in source.,Not mentioned in source.,Not mentioned in source.,"Customization is achieved through parametric design and generative modelling enabling rapid development of product varieties [21], involving customers directly or indirectly to better capture needs and improve satisfaction [21], and reducing time-to-market by shortening product design and 3D modelling times [21].","The paper identifies technical challenges from the trend toward highly customised products [21], highlights successful case studies and solutions for mass-customisation [21], and reports that parametric and generative methods enable rapid product variety development, improved customer satisfaction, and reduced time-to-market [21].",Not mentioned in source.,Scalability and variation are addressed by enabling rapid development of product varieties [21] and shortening design and 3D modelling time to accelerate time-to-market [21].
